timestamp,git_commit,gpu,torch_version,torch_cuda_version,triton_version,transformers_version,run_index,case_index,provider_position,case_provider_order,family,case_name,batch_size,sequence_length,rows,hidden_size,numel,dtype,provider,input_is_contiguous,weight_is_contiguous,status,error,first_call_ms,p50_ms,p95_ms,max_abs_error,mean_abs_error,speedup_vs_huggingface
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,18,1,huggingface|triton_adapter,llama,prefill_s128,1,128,128,512,65536,fp32,huggingface,True,True,ok,,0.042844000,0.014336000,0.015360000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,18,2,huggingface|triton_adapter,llama,prefill_s128,1,128,128,512,65536,fp32,triton_adapter,True,True,ok,,0.093367000,0.004096000,0.005120000,0.000000954,0.000000011,3.500000057
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,19,1,triton_adapter|huggingface,llama,prefill_b4_s32,4,32,128,512,65536,fp32,triton_adapter,True,True,ok,,0.042148000,0.004096000,0.005120000,0.000000954,0.000000013,3.500000057
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,19,2,triton_adapter|huggingface,llama,prefill_b4_s32,4,32,128,512,65536,fp32,huggingface,True,True,ok,,0.137598000,0.014336000,0.014731200,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,20,1,huggingface|triton_adapter,qwen2,single_token_no_cache,1,1,1,512,512,fp32,huggingface,True,True,ok,,0.040179000,0.012096000,0.012288000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,20,2,huggingface|triton_adapter,qwen2,single_token_no_cache,1,1,1,512,512,fp32,triton_adapter,True,True,ok,,0.102577999,0.004016000,0.004096000,0.000000000,0.000000000,3.011952108
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,21,1,triton_adapter|huggingface,qwen2,prefill_s32,1,32,32,512,16384,fp32,triton_adapter,True,True,ok,,0.045342000,0.003264000,0.004096000,0.000000715,0.000000012,4.078431401
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,21,2,triton_adapter|huggingface,qwen2,prefill_s32,1,32,32,512,16384,fp32,huggingface,True,True,ok,,0.125423000,0.013312000,0.013568000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,22,1,huggingface|triton_adapter,qwen2,prefill_s128,1,128,128,512,65536,fp32,huggingface,True,True,ok,,0.041278000,0.014336000,0.015360000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,22,2,huggingface|triton_adapter,qwen2,prefill_s128,1,128,128,512,65536,fp32,triton_adapter,True,True,ok,,0.100669000,0.004096000,0.005120000,0.000000954,0.000000011,3.500000057
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,23,1,triton_adapter|huggingface,qwen2,prefill_b4_s32,4,32,128,512,65536,fp32,triton_adapter,True,True,ok,,0.043981000,0.004096000,0.005120000,0.000000954,0.000000013,3.500000057
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,23,2,triton_adapter|huggingface,qwen2,prefill_b4_s32,4,32,128,512,65536,fp32,huggingface,True,True,ok,,0.121857000,0.014336000,0.015040000,0.000000000,0.000000000,1.000000000
